input_text,target_text,conversation_id,windex,split
EE: Hi! (Other),other,0,0,train
"EE: Hi! (Other)
EE: I am recommending that you donate to a kids charity (Statement-non-opinion)",hneg-,0,1,train
"EE: Hi! (Other)
EE: I am recommending that you donate to a kids charity (Statement-non-opinion)
EE: Yeah, what do you think about St Jude's? (Wh-Question)",other,0,2,train
"EE: I am recommending that you donate to a kids charity (Statement-non-opinion)
EE: Yeah, what do you think about St Jude's? (Wh-Question)
EE: I recommend Save the Children children's charity. (Statement-non-opinion)",spos+,0,3,train
"EE: Yeah, what do you think about St Jude's? (Wh-Question)
EE: I recommend Save the Children children's charity. (Statement-non-opinion)
EE: That's wonderful! (Appreciation)",hpos+,0,4,train
"EE: I recommend Save the Children children's charity. (Statement-non-opinion)
EE: That's wonderful! (Appreciation)
EE: Do you have any specific country in mind? (Yes-No-Question)",other,0,5,train
"EE: That's wonderful! (Appreciation)
EE: Do you have any specific country in mind? (Yes-No-Question)
EE: No but I can tell you about the charity! (Statement-non-opinion)",other,0,6,train
"EE: Do you have any specific country in mind? (Yes-No-Question)
EE: No but I can tell you about the charity! (Statement-non-opinion)
EE: Sure! (Acknowledge (Backchannel))",hpos+,0,7,train
"EE: No but I can tell you about the charity! (Statement-non-opinion)
EE: Sure! (Acknowledge (Backchannel))
EE: I'd love to hear more. (Statement-non-opinion)",hpos+,0,8,train
"EE: Sure! (Acknowledge (Backchannel))
EE: I'd love to hear more. (Statement-non-opinion)
EE: Go on... (Non-verbal)",hpos+,0,9,train
"EE: I'd love to hear more. (Statement-non-opinion)
EE: Go on... (Non-verbal)
EE: Save the Children is important because it supports protecting kids' rights to education and health and safety (Statement-non-opinion)",spos+,0,10,train
"EE: Go on... (Non-verbal)
EE: Save the Children is important because it supports protecting kids' rights to education and health and safety (Statement-non-opinion)
EE: Have you ever sponsored a child? (Yes-No-Question)",other,0,11,train
"EE: Save the Children is important because it supports protecting kids' rights to education and health and safety (Statement-non-opinion)
EE: Have you ever sponsored a child? (Yes-No-Question)
EE: If so, how much does it take to take care of a sweet child on average? (Wh-Question)",other,0,12,train
"EE: Have you ever sponsored a child? (Yes-No-Question)
EE: If so, how much does it take to take care of a sweet child on average? (Wh-Question)
EE: The usual cost is about $36 per child. (Statement-non-opinion)",other,0,13,train
"EE: If so, how much does it take to take care of a sweet child on average? (Wh-Question)
EE: The usual cost is about $36 per child. (Statement-non-opinion)
EE: I have not yet through this charity, but it is my charity of choice for my next sponsored child (Statement-non-opinion)",spos+,0,14,train
"EE: The usual cost is about $36 per child. (Statement-non-opinion)
EE: I have not yet through this charity, but it is my charity of choice for my next sponsored child (Statement-non-opinion)
EE: That's actually quite reasonable! (Appreciation)",hpos+,0,15,train
"EE: I have not yet through this charity, but it is my charity of choice for my next sponsored child (Statement-non-opinion)
EE: That's actually quite reasonable! (Appreciation)
EE: I doesn't cost much. (Statement-non-opinion)",other,0,16,train
"EE: That's actually quite reasonable! (Appreciation)
EE: I doesn't cost much. (Statement-non-opinion)
EE: I hope they allow for pen pals as well. (Statement-non-opinion)",other,0,17,train
"EE: I doesn't cost much. (Statement-non-opinion)
EE: I hope they allow for pen pals as well. (Statement-non-opinion)
EE: Sounds like a blessed organization. (Statement-opinion)",other,0,18,train
