input_text,target_text,conversation_id,windex,split
"EE: Hello, Have you heard of the save a children charity? (Yes-No-Question)",other,2,0,train
"EE: Hello, Have you heard of the save a children charity? (Yes-No-Question)
EE: Why yes I have. (Statement-non-opinion)",hpos+,2,1,train
"EE: Hello, Have you heard of the save a children charity? (Yes-No-Question)
EE: Why yes I have. (Statement-non-opinion)
EE: Do you represent them? (Yes-No-Question)",other,2,2,train
"EE: Why yes I have. (Statement-non-opinion)
EE: Do you represent them? (Yes-No-Question)
EE: Yes I do. (Yes answers)",other,2,3,train
"EE: Do you represent them? (Yes-No-Question)
EE: Yes I do. (Yes answers)
EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement-non-opinion)",other,2,4,train
"EE: Yes I do. (Yes answers)
EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement-non-opinion)
EE: I've been thinking of donating to charity, but I could never find the right one. (Statement-non-opinion)",spos+,2,5,train
"EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement-non-opinion)
EE: I've been thinking of donating to charity, but I could never find the right one. (Statement-non-opinion)
EE: This one is great. (Statement-non-opinion)",spos+,2,6,train
"EE: I've been thinking of donating to charity, but I could never find the right one. (Statement-non-opinion)
EE: This one is great. (Statement-non-opinion)
EE: We help out poor children. (Statement-non-opinion)",spos+,2,7,train
"EE: This one is great. (Statement-non-opinion)
EE: We help out poor children. (Statement-non-opinion)
EE: We assist in all sorts of ways. (Statement-non-opinion)",spos+,2,8,train
"EE: We help out poor children. (Statement-non-opinion)
EE: We assist in all sorts of ways. (Statement-non-opinion)
EE: Education, health care, vaccinations etc. (Statement-non-opinion)",spos+,2,9,train
"EE: We assist in all sorts of ways. (Statement-non-opinion)
EE: Education, health care, vaccinations etc. (Statement-non-opinion)
EE: We cover all aspects of it. (Statement-non-opinion)",spos+,2,10,train
