input_text,target_text,conversation_id,windex,split
"EE: Hello, Have you heard of the save a children charity? (Question)",other,2,0,train
"EE: Hello, Have you heard of the save a children charity? (Question)
EE: Why yes I have. (Statement)",hpos+,2,1,train
"EE: Hello, Have you heard of the save a children charity? (Question)
EE: Why yes I have. (Statement)
EE: Do you represent them? (Question)",other,2,2,train
"EE: Why yes I have. (Statement)
EE: Do you represent them? (Question)
EE: Yes I do. (Statement)",other,2,3,train
"EE: Do you represent them? (Question)
EE: Yes I do. (Statement)
EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement)",other,2,4,train
"EE: Yes I do. (Statement)
EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement)
EE: I've been thinking of donating to charity, but I could never find the right one. (Statement)",spos+,2,5,train
"EE: I go aroudn telling people about the charity to see if they would like to help out. (Statement)
EE: I've been thinking of donating to charity, but I could never find the right one. (Statement)
EE: This one is great. (Statement)",spos+,2,6,train
"EE: I've been thinking of donating to charity, but I could never find the right one. (Statement)
EE: This one is great. (Statement)
EE: We help out poor children. (Statement)",spos+,2,7,train
"EE: This one is great. (Statement)
EE: We help out poor children. (Statement)
EE: We assist in all sorts of ways. (Statement)",spos+,2,8,train
"EE: We help out poor children. (Statement)
EE: We assist in all sorts of ways. (Statement)
EE: Education, health care, vaccinations etc. (Statement)",spos+,2,9,train
"EE: We assist in all sorts of ways. (Statement)
EE: Education, health care, vaccinations etc. (Statement)
EE: We cover all aspects of it. (Statement)",spos+,2,10,train
"EE: Education, health care, vaccinations etc. (Statement)
EE: We cover all aspects of it. (Statement)
EE: Did you know you can donate the money you were getting from this HIT to save the children? (Question)",other,2,11,train
"EE: We cover all aspects of it. (Statement)
EE: Did you know you can donate the money you were getting from this HIT to save the children? (Question)
EE: Oh really? (Question)",other,2,12,train
"EE: Did you know you can donate the money you were getting from this HIT to save the children? (Question)
EE: Oh really? (Question)
EE: I honestly had no idea. (Statement)",other,2,13,train
"EE: Oh really? (Question)
EE: I honestly had no idea. (Statement)
EE: Yes it is! (Statement)",other,2,14,train
"EE: I honestly had no idea. (Statement)
EE: Yes it is! (Statement)
EE: Would you like to spend $1.70 to help some poor children today. (Statement)",hneg-,2,15,train
"EE: Yes it is! (Statement)
EE: Would you like to spend $1.70 to help some poor children today. (Statement)
EE: Well being that im kind of a poor person myself im kind of in the same boat as the children lol. (Statement)",sneg+,2,16,train
"EE: Would you like to spend $1.70 to help some poor children today. (Statement)
EE: Well being that im kind of a poor person myself im kind of in the same boat as the children lol. (Statement)
EE: I'd be fine with donating $1.00 though and i'd keep the other. (Statement)",hpos+,2,17,train
